id,posted_date,submitter,organization,last_name,first_name,title,text_file,attachment_files
COLC-2015-0012-0056,2016-03-04T05:00:00Z,USC Intellectual Property and Technology Law Clinic,USC Intellectual Property and Technology Law Clinic,Barreiro,Valerie,Initial Comments - USC Intellectual Property and Technology Law Clinic,COLC-2015-0012-0056_USC-Intellectual-Property-and-Technology-Law-Clinic_comment.txt,COLC-2015-0012-0056_USC-Intellectual-Property-and-Technology-Law-Clinic_0900006481e9f69a.pdf
COLC-2015-0012-0062,2016-03-04T05:00:00Z,Knowledge Ecology International,Knowledge Ecology International,Goldman,Andrew,Initial Comments - Knowledge Ecology International,COLC-2015-0012-0062_Knowledge-Ecology-International_comment.txt,COLC-2015-0012-0062_Knowledge-Ecology-International_0900006481e9f98c.pdf
COLC-2015-0012-0063,2016-03-04T05:00:00Z,"International Documentary Association, Film Independent, Kartemquin Educational Films","International Documentary Association, Film Independent, Kartemquin Educational Films",Lerner,Jack,"Initial Comments - International Documentary Association, Film Independent, Kartemquin Educational Films",COLC-2015-0012-0063_International-Documentary-Association-Film-Independent-Karte_comment.txt,COLC-2015-0012-0063_International-Documentary-Association-Film-Independent-Karte_0900006481e9fd76.pdf
COLC-2015-0012-0027,2016-03-04T05:00:00Z,Feltren-Emily,,Feltren,Emily,Initial Comments - American Association of Law Libraries,COLC-2015-0012-0027_Feltren-Emily_comment.txt,COLC-2015-0012-0027_Feltren-Emily_0900006481e8bf0d.pdf
COLC-2015-0012-0040,2016-03-04T05:00:00Z,Competitive Carriers Association,Competitive Carriers Association,Thompson,Rebecca,Initial Comments - Competitive Carriers Association,COLC-2015-0012-0040_Competitive-Carriers-Association_comment.txt,COLC-2015-0012-0040_Competitive-Carriers-Association_0900006481e9e8b0.pdf
COLC-2015-0012-0060,2016-03-04T05:00:00Z,DIYAbility,DIYAbility,Williamson,Aaron,Initial Comments - DIYAbility,COLC-2015-0012-0060_DIYAbility_comment.txt,
COLC-2015-0012-0120,2016-10-28T04:00:00Z,Auto Care Association,Auto Care Association,Lowe,Aaron,Additional Comments - Auto Care Association,COLC-2015-0012-0120_Auto-Care-Association_comment.txt,COLC-2015-0012-0120_Auto-Care-Association_0900006482359a95.pdf
COLC-2015-0012-0119,2016-10-28T04:00:00Z,Consumer Technology Association,Consumer Technology Association,Petricone,Michael,Additional Comments - Consumer Technology Association,COLC-2015-0012-0119_Consumer-Technology-Association_comment.txt,COLC-2015-0012-0119_Consumer-Technology-Association_0900006482359892.pdf
COLC-2015-0012-0114,2016-10-28T04:00:00Z,"International Imaging Technology Council and Static Control Components, Inc.","International Imaging Technology Council and Static Control Components, Inc.",London,William,"Additional Comments - IITC, Static Control",COLC-2015-0012-0114_International-Imaging-Technology-Council-and-Static-Control-_comment.txt,COLC-2015-0012-0114_International-Imaging-Technology-Council-and-Static-Control-_0900006482358cb5.pdf
COLC-2015-0012-0113,2016-10-28T04:00:00Z,"AAP, ESA, MPAA, RIAA","AAP, ESA, MPAA, RIAA",Williams,J. Matthew,"Additional Comments - AAP, ESA, MPAA, RIAA",COLC-2015-0012-0113_AAP-ESA-MPAA-RIAA_comment.txt,COLC-2015-0012-0113_AAP-ESA-MPAA-RIAA_0900006482358cb3.pdf
COLC-2015-0012-0082,2016-04-03T04:00:00Z,Electronic Frontier Foundation,Electronic Frontier Foundation,Stoltz,Mitch,Initial Reply Comments - Electronic Frontier Foundation (EFF),COLC-2015-0012-0082_Electronic-Frontier-Foundation_comment.txt,COLC-2015-0012-0082_Electronic-Frontier-Foundation_0900006481f1b577.pdf
COLC-2015-0012-0083,2016-04-03T04:00:00Z,USC Intellectual Property and Technology Law Clinic,USC Intellectual Property and Technology Law Clinic,Barreiro,Valerie,Initial Reply Comments - USC Intellectual Property and Technology Law Clinic,COLC-2015-0012-0083_USC-Intellectual-Property-and-Technology-Law-Clinic_comment.txt,COLC-2015-0012-0083_USC-Intellectual-Property-and-Technology-Law-Clinic_0900006481f1b970.pdf
COLC-2015-0012-0047,2016-03-04T05:00:00Z,Rapid7,Rapid7,Geiger,Harley,Initial Comments - Rapid7,COLC-2015-0012-0047_Rapid7_comment.txt,COLC-2015-0012-0047_Rapid7_0900006481e9f256.pdf
COLC-2015-0012-0043,2016-03-04T05:00:00Z,New America's Open Technology Institute,New America's Open Technology Institute,Greene,Robyn,Initial Comments - New America's Open Technology Institute,COLC-2015-0012-0043_New-America-s-Open-Technology-Institute_comment.txt,COLC-2015-0012-0043_New-America-s-Open-Technology-Institute_0900006481e9f15d.pdf
COLC-2015-0012-0017,2016-03-04T05:00:00Z,Brickel-Joshua,,Brickel,Joshua,Initial Comments -  Joshua Brickel,COLC-2015-0012-0017_Brickel-Joshua_comment.txt,
COLC-2015-0012-0025,2016-03-04T05:00:00Z,Pearson-Timothy,,Pearson,Timothy,Initial Comments - Timothy Pearson,COLC-2015-0012-0025_Pearson-Timothy_comment.txt,
COLC-2015-0012-0020,2016-03-04T05:00:00Z,starelikemckeehen poker club,starelikemckeehen poker club,McKeehen,S,Initial Comments - Starelikemckeehen Poker Club,COLC-2015-0012-0020_starelikemckeehen-poker-club_comment.txt,
COLC-2015-0012-0089,2016-10-28T04:00:00Z,Izquierdo-Cecilio,,Izquierdo,Cecilio,"Additional Comments - Izquierdo, Cecilio",COLC-2015-0012-0089_Izquierdo-Cecilio_comment.txt,
COLC-2015-0012-0090,2016-10-28T04:00:00Z,Flit-Mike,,Flit,Mike,"Additional Comments - Flit, Mike",COLC-2015-0012-0090_Flit-Mike_comment.txt,
COLC-2015-0012-0098,2016-10-28T04:00:00Z,kalfus-eleni,,kalfus,eleni,"Additional Comments - Kalfus, Eleni",COLC-2015-0012-0098_kalfus-eleni_comment.txt,
COLC-2015-0012-0075,2016-04-03T04:00:00Z,Library Copyright Alliance,Library Copyright Alliance,Band,Jonathan,Initial Reply Comments - Library Copyright Alliance (LCA),COLC-2015-0012-0075_Library-Copyright-Alliance_comment.txt,COLC-2015-0012-0075_Library-Copyright-Alliance_0900006481f0d563.pdf
COLC-2015-0012-0084,2016-04-03T04:00:00Z,SIIA,SIIA,Mohr,Chris,Initial Reply Comments - Software and Information Industry Association (SIIA),COLC-2015-0012-0084_SIIA_comment.txt,COLC-2015-0012-0084_SIIA_0900006481f1c6ea.pdf
COLC-2015-0012-0085,2016-04-03T04:00:00Z,"DVD Copy Control Association and Access Content System Licensing Administrator, LLC","DVD Copy Control Association and Access Content System Licensing Administrator, LLC",Turnbull,Bruce,Initial Reply Comments - DVD CCA and AACS LA,COLC-2015-0012-0085_DVD-Copy-Control-Association-and-Access-Content-System-Licen_comment.txt,COLC-2015-0012-0085_DVD-Copy-Control-Association-and-Access-Content-System-Licen_0900006481f1d1ba.pdf
COLC-2015-0012-0123,2016-10-28T04:00:00Z,Library Copyright Alliance,Library Copyright Alliance,Band,Jonathan,Additional Comments - Library Copyright Alliance,COLC-2015-0012-0123_Library-Copyright-Alliance_comment.txt,COLC-2015-0012-0123_Library-Copyright-Alliance_09000064823598f3.pdf
COLC-2015-0012-0122,2016-10-28T04:00:00Z,Motor & Equipment Manufacturers Association,Motor & Equipment Manufacturers Association,Bruno,Sarah,Additional Comments - Motor & Equipment Manufacturers Association,COLC-2015-0012-0122_Motor-Equipment-Manufacturers-Association_comment.txt,COLC-2015-0012-0122_Motor-Equipment-Manufacturers-Association_09000064823598f1.pdf
COLC-2015-0012-0130,2016-10-28T04:00:00Z,Manion-Art,,Manion,Art,Additional Comments - CERT,COLC-2015-0012-0130_Manion-Art_comment.txt,COLC-2015-0012-0130_Manion-Art_090000648235a5ab.pdf
